Date,Adj Close
2021-04-08,85.42
2021-04-09,85.34
2021-04-12,84.39
2021-04-13,84.77
2021-04-14,86.45
2021-04-15,85.75
2021-04-16,85.37
2021-04-19,85.62
2021-04-20,84.02
2021-04-21,85.18
2021-04-22,83.7
2021-04-23,84.2
2021-04-26,84.17
2021-04-27,85.15
2021-04-28,87.24
2021-04-29,88.64
2021-04-30,85.46
2021-05-03,87.5
2021-05-04,87.98
2021-05-05,90.34
2021-05-06,90.39
2021-05-07,91.22
2021-05-10,90.85
2021-05-11,88.47
2021-05-12,89.02
2021-05-13,88.45
2021-05-14,90.77
2021-05-17,91.88
2021-05-18,89.12
2021-05-19,86.61
2021-05-20,86.92
2021-05-21,87.39
2021-05-24,88.63
2021-05-25,87.18
2021-05-26,87.39
2021-05-27,86.46
2021-05-28,87.11
2021-06-01,89.51
2021-06-02,90.71
2021-06-03,90.3
2021-06-04,91.02
2021-06-07,90.43
2021-06-08,91.26
2021-06-09,90.46
2021-06-10,90.99
2021-06-11,90.57
2021-06-14,90.62
2021-06-15,92.57
2021-06-16,92.05
2021-06-17,89.86
2021-06-18,86.47
2021-06-21,89.01
2021-06-22,89.3
2021-06-23,89.19
2021-06-24,89.92
2021-06-25,90.06
2021-06-28,87.28
2021-06-29,87.08
2021-06-30,87.91
2021-07-01,89.14
2021-07-02,89.02
2021-07-06,87.28
2021-07-07,86.39
2021-07-08,86.11
2021-07-09,87.35
2021-07-12,87.52
2021-07-13,87.23
2021-07-14,85.58
2021-07-15,85.02
2021-07-16,82.77
2021-07-19,80.54
2021-07-20,81.02
2021-07-21,83.78
2021-07-22,82.94
2021-07-23,82.97
2021-07-26,84.73
2021-07-27,84.44
2021-07-28,84.92
2021-07-29,86.09
2021-07-30,85.45
2021-08-02,85.3
2021-08-03,86.11
2021-08-04,84.18
2021-08-05,84.96
2021-08-06,85.57
2021-08-09,84.14
2021-08-10,85.67
2021-08-11,86.32
2021-08-12,86.14
2021-08-13,85.57
2021-08-16,84.7
2021-08-17,84.54
2021-08-18,82.25
2021-08-19,80.2
2021-08-20,80.21
2021-08-23,82.28
2021-08-24,83.22
2021-08-25,83.79
2021-08-26,82.7
2021-08-27,83.9
2021-08-30,83.69
2021-08-31,82.31
2021-09-01,81.41
2021-09-02,83.11
2021-09-03,82.93
2021-09-07,82.56
2021-09-08,81.99
2021-09-09,81.66
2021-09-10,81.72
2021-09-13,83.33
2021-09-14,81.83
2021-09-15,83.56
2021-09-16,82.78
2021-09-17,82.3
2021-09-20,80.62
2021-09-21,80.68
2021-09-22,83.05
2021-09-23,85.11
2021-09-24,85.57
2021-09-27,87.59
2021-09-28,87.92
2021-09-29,87.89
2021-09-30,86.29
2021-10-01,88.74
2021-10-04,89.08
2021-10-05,90.05
2021-10-06,89.25
2021-10-07,89.89
2021-10-08,91.91
2021-10-11,91.13
